shape_source,tier,tier_lo,tier_hi,source_rate,source_unit,relative_loss,flag,note,citation
fico_fed2007,prime_plus,720,799,1.0,percent of new accounts (opened Oct 2000-Apr 2001) 90+ days delinquent or with other derogatory information within the two years from Oct 2000 (Fair Isaac Corp.),0.169492,band_720-850_also_covers:superprime,"Account-level two-year default (90+ DPD or other derogatory) on new accounts of all types opened Oct 2000-Apr 2001; not card-specific, not balance-weighted, 2000-2002 vintage. The top band '720 or more' spans prime plus and superprime, so those two tiers carry the same value.","Board of Governors of the Federal Reserve System, 'Report to the Congress on Credit Scoring and Its Effects on the Availability and Affordability of Credit' (August 2007), Tables for General Background, Table 2 'Default Rate on New Loans for the Two Years after Origination, by FICO Credit Score, October 2000 to October 2002', Source: Fair Isaac Corp.; https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/general_tables.htm (fetched 2026-09-08, copy at tests/fixtures/shape/fed2007_creditscore_general_tables.htm)"
fico_fed2007,superprime,800,850,1.0,percent of new accounts (opened Oct 2000-Apr 2001) 90+ days delinquent or with other derogatory information within the two years from Oct 2000 (Fair Isaac Corp.),0.169492,band_720-850_also_covers:prime_plus,"Account-level two-year default (90+ DPD or other derogatory) on new accounts of all types opened Oct 2000-Apr 2001; not card-specific, not balance-weighted, 2000-2002 vintage. The top band '720 or more' spans prime plus and superprime, so those two tiers carry the same value.","Board of Governors of the Federal Reserve System, 'Report to the Congress on Credit Scoring and Its Effects on the Availability and Affordability of Credit' (August 2007), Tables for General Background, Table 2 'Default Rate on New Loans for the Two Years after Origination, by FICO Credit Score, October 2000 to October 2002', Source: Fair Isaac Corp.; https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/general_tables.htm (fetched 2026-09-08, copy at tests/fixtures/shape/fed2007_creditscore_general_tables.htm)"
acms2018,deep_subprime,300,579,0.076559,"annual net charge-off rate on balances over months 1-24 after origination: cumulative chargeoffs ($, gross minus recoveries) at 24 months / (ADB at 12 months + ADB at 24 months); fraction",1.182258,band_300-660_also_covers:subprime+near_prime,"Card-level and balance-weighted, but a selected sample: new accounts within 5 FICO points of a credit-limit cutoff at the eight largest US banks, originated Jan 2008-Nov 2013, first two years of life. The coarse '<=660' group cannot separate deep subprime, subprime and near-prime; all three carry its value, and the cutoffs in that group cluster near 660, so it understates deep subprime.","Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative chargeoffs ($)' and 'ADB ($)' after 12 and 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018,subprime,580,619,0.076559,"annual net charge-off rate on balances over months 1-24 after origination: cumulative chargeoffs ($, gross minus recoveries) at 24 months / (ADB at 12 months + ADB at 24 months); fraction",1.182258,band_300-660_also_covers:deep_subprime+near_prime,"Card-level and balance-weighted, but a selected sample: new accounts within 5 FICO points of a credit-limit cutoff at the eight largest US banks, originated Jan 2008-Nov 2013, first two years of life. The coarse '<=660' group cannot separate deep subprime, subprime and near-prime; all three carry its value, and the cutoffs in that group cluster near 660, so it understates deep subprime.","Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative chargeoffs ($)' and 'ADB ($)' after 12 and 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018,near_prime,620,659,0.076559,"annual net charge-off rate on balances over months 1-24 after origination: cumulative chargeoffs ($, gross minus recoveries) at 24 months / (ADB at 12 months + ADB at 24 months); fraction",1.182258,band_300-660_also_covers:deep_subprime+subprime,"Card-level and balance-weighted, but a selected sample: new accounts within 5 FICO points of a credit-limit cutoff at the eight largest US banks, originated Jan 2008-Nov 2013, first two years of life. The coarse '<=660' group cannot separate deep subprime, subprime and near-prime; all three carry its value, and the cutoffs in that group cluster near 660, so it understates deep subprime.","Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative chargeoffs ($)' and 'ADB ($)' after 12 and 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018,prime,660,719,0.064757,"annual net charge-off rate on balances over months 1-24 after origination: cumulative chargeoffs ($, gross minus recoveries) at 24 months / (ADB at 12 months + ADB at 24 months); fraction",1.0,straddle_split:300-660|661-700|701-740,"Card-level and balance-weighted, but a selected sample: new accounts within 5 FICO points of a credit-limit cutoff at the eight largest US banks, originated Jan 2008-Nov 2013, first two years of life. The coarse '<=660' group cannot separate deep subprime, subprime and near-prime; all three carry its value, and the cutoffs in that group cluster near 660, so it understates deep subprime.","Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative chargeoffs ($)' and 'ADB ($)' after 12 and 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018,prime_plus,720,799,0.041651,"annual net charge-off rate on balances over months 1-24 after origination: cumulative chargeoffs ($, gross minus recoveries) at 24 months / (ADB at 12 months + ADB at 24 months); fraction",0.643186,straddle_split:701-740|741-850,"Card-level and balance-weighted, but a selected sample: new accounts within 5 FICO points of a credit-limit cutoff at the eight largest US banks, originated Jan 2008-Nov 2013, first two years of life. The coarse '<=660' group cannot separate deep subprime, subprime and near-prime; all three carry its value, and the cutoffs in that group cluster near 660, so it understates deep subprime.","Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative chargeoffs ($)' and 'ADB ($)' after 12 and 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018,superprime,800,850,0.034207,"annual net charge-off rate on balances over months 1-24 after origination: cumulative chargeoffs ($, gross minus recoveries) at 24 months / (ADB at 12 months + ADB at 24 months); fraction",0.528237,,"Card-level and balance-weighted, but a selected sample: new accounts within 5 FICO points of a credit-limit cutoff at the eight largest US banks, originated Jan 2008-Nov 2013, first two years of life. The coarse '<=660' group cannot separate deep subprime, subprime and near-prime; all three carry its value, and the cutoffs in that group cluster near 660, so it understates deep subprime.","Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative chargeoffs ($)' and 'ADB ($)' after 12 and 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018_dpd90,deep_subprime,300,579,10.2,percent of accounts 90+ days past due at least once within 24 months of origination,1.299363,band_300-660_also_covers:subprime+near_prime,Same sample and groups as acms2018; per-account incidence on the treated card instead of dollars charged off per dollar of balance. Same coarse-group caveat for the three lowest tiers.,"Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative prob 90+ DPD (%)' after 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018_dpd90,subprime,580,619,10.2,percent of accounts 90+ days past due at least once within 24 months of origination,1.299363,band_300-660_also_covers:deep_subprime+near_prime,Same sample and groups as acms2018; per-account incidence on the treated card instead of dollars charged off per dollar of balance. Same coarse-group caveat for the three lowest tiers.,"Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative prob 90+ DPD (%)' after 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018_dpd90,near_prime,620,659,10.2,percent of accounts 90+ days past due at least once within 24 months of origination,1.299363,band_300-660_also_covers:deep_subprime+subprime,Same sample and groups as acms2018; per-account incidence on the treated card instead of dollars charged off per dollar of balance. Same coarse-group caveat for the three lowest tiers.,"Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative prob 90+ DPD (%)' after 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018_dpd90,prime,660,719,7.85,percent of accounts 90+ days past due at least once within 24 months of origination,1.0,straddle_split:300-660|661-700|701-740,Same sample and groups as acms2018; per-account incidence on the treated card instead of dollars charged off per dollar of balance. Same coarse-group caveat for the three lowest tiers.,"Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative prob 90+ DPD (%)' after 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018_dpd90,prime_plus,720,799,4.25,percent of accounts 90+ days past due at least once within 24 months of origination,0.541401,straddle_split:701-740|741-850,Same sample and groups as acms2018; per-account incidence on the treated card instead of dollars charged off per dollar of balance. Same coarse-group caveat for the three lowest tiers.,"Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative prob 90+ DPD (%)' after 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
acms2018_dpd90,superprime,800,850,3.2,percent of accounts 90+ days past due at least once within 24 months of origination,0.407643,,Same sample and groups as acms2018; per-account incidence on the treated card instead of dollars charged off per dollar of balance. Same coarse-group caveat for the three lowest tiers.,"Agarwal, Chomsisengphet, Mahoney and Stroebel, 'Do Banks Pass Through Credit Expansions to Consumers Who Want to Borrow?', Quarterly Journal of Economics 133(1), 2018, pp. 129-190, Table IV 'Quasi-experiment-level summary statistics, post origination', pp. 154-155, rows 'Cumulative prob 90+ DPD (%)' after 24 months by FICO score group; https://pages.stern.nyu.edu/~jstroebe/PDF/ACMS_Passthrough.pdf (PDF pp. 26-27; copy at tests/fixtures/shape/acms2018_passthrough_stern.pdf, page text at tests/fixtures/shape/acms2018_table4_pages154-155.txt)"
autos_b1,deep_subprime,300,579,,,,placeholder,"filled by Track B: cumulative charge-off by 20-point score bucket from the auto loan-level panel (design/analysis-plan.md, estimator B1/B4)",
autos_b1,subprime,580,619,,,,placeholder,"filled by Track B: cumulative charge-off by 20-point score bucket from the auto loan-level panel (design/analysis-plan.md, estimator B1/B4)",
autos_b1,near_prime,620,659,,,,placeholder,"filled by Track B: cumulative charge-off by 20-point score bucket from the auto loan-level panel (design/analysis-plan.md, estimator B1/B4)",
autos_b1,prime,660,719,,,,placeholder,"filled by Track B: cumulative charge-off by 20-point score bucket from the auto loan-level panel (design/analysis-plan.md, estimator B1/B4)",
autos_b1,prime_plus,720,799,,,,placeholder,"filled by Track B: cumulative charge-off by 20-point score bucket from the auto loan-level panel (design/analysis-plan.md, estimator B1/B4)",
autos_b1,superprime,800,850,,,,placeholder,"filled by Track B: cumulative charge-off by 20-point score bucket from the auto loan-level panel (design/analysis-plan.md, estimator B1/B4)",
