scenario,free_riding,brand,selection,gamma,cutoff,estimator,true_brand_effect_pp,estimated_pp,bias_pp,channel_bias_vs_clean_pp,mc_se_pp,est_clean,note
"free-riding ON, brand zero, selection ON",1,0,1,0.1,680,"(f) RD at approval cutoff, other cards",0.0,0.072,0.072,0.067,0.076,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.40; estimand = badge's causal effect on other cards = free-riding liquidity effect -0.003 pp, not brand"
"free-riding ON, brand POSITIVE, selection off",1,1,0,0.1,680,"(a) pool-level, constant FICO mix",-0.338,-0.326,0.012,-0.004,0.003,-0.323,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON, brand POSITIVE, selection off",1,1,0,0.1,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.07,-0.07,-0.001,0.006,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = -0.002 pp (not brand)"
"free-riding ON, brand POSITIVE, selection off",1,1,0,0.1,680,"(c) within-person, no time effects",-0.338,-0.292,0.047,-0.003,0.002,-0.289,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON, brand POSITIVE, selection off",1,1,0,0.1,680,"(d) person x month FE, issuer dummy",-23.217,-23.569,-0.351,-0.351,0.189,-23.217,"holders; person-month FE on months with >=1 late and >=1 current card (20,508 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON, brand POSITIVE, selection off",1,1,0,0.1,680,(e) person x month FE + line/balance controls,-24.564,-24.652,-0.088,-0.088,0.776,-24.564,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding ON, brand POSITIVE, selection off",1,1,0,0.1,680,"(f) RD at approval cutoff, other cards",0.0,0.022,0.022,0.017,0.057,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.63; estimand = badge's causal effect on other cards = free-riding liquidity effect -0.002 pp, not brand"
"free-riding ON, brand POSITIVE, selection ON",1,1,1,0.1,680,"(a) pool-level, constant FICO mix",-0.154,-0.468,-0.314,-0.146,0.003,-0.323,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON, brand POSITIVE, selection ON",1,1,1,0.1,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.49,-0.49,-0.422,0.001,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = -0.003 pp (not brand)"
"free-riding ON, brand POSITIVE, selection ON",1,1,1,0.1,680,"(c) within-person, no time effects",-0.154,-0.137,0.017,0.151,0.003,-0.289,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON, brand POSITIVE, selection ON",1,1,1,0.1,680,"(d) person x month FE, issuer dummy",-23.217,-24.594,-1.377,-1.377,0.627,-23.217,"holders; person-month FE on months with >=1 late and >=1 current card (9,315 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON, brand POSITIVE, selection ON",1,1,1,0.1,680,(e) person x month FE + line/balance controls,-24.564,-25.524,-0.96,-0.96,0.906,-24.564,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding ON, brand POSITIVE, selection ON",1,1,1,0.1,680,"(f) RD at approval cutoff, other cards",0.0,0.072,0.072,0.067,0.076,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.40; estimand = badge's causal effect on other cards = free-riding liquidity effect -0.003 pp, not brand"
"free-riding ON (gamma=0.25), brand zero, selection off",1,0,0,0.25,680,"(a) pool-level, constant FICO mix",0.0,0.002,0.002,-0.018,0.004,0.021,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON (gamma=0.25), brand zero, selection off",1,0,0,0.25,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.073,-0.073,-0.004,0.006,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = -0.005 pp (not brand)"
"free-riding ON (gamma=0.25), brand zero, selection off",1,0,0,0.25,680,"(c) within-person, no time effects",0.0,0.034,0.034,-0.015,0.004,0.049,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON (gamma=0.25), brand zero, selection off",1,0,0,0.25,680,"(d) person x month FE, issuer dummy",3.282,2.332,-0.949,-0.949,0.279,3.282,"holders; person-month FE on months with >=1 late and >=1 current card (24,424 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON (gamma=0.25), brand zero, selection off",1,0,0,0.25,680,(e) person x month FE + line/balance controls,0.052,-0.03,-0.082,-0.082,0.467,0.052,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding ON (gamma=0.25), brand zero, selection off",1,0,0,0.25,680,"(f) RD at approval cutoff, other cards",0.0,0.054,0.054,0.048,0.059,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.63; estimand = badge's causal effect on other cards = free-riding liquidity effect -0.005 pp, not brand"
"free-riding off, brand zero, selection off, cutoff 620",0,0,0,0.0,620,"(a) pool-level, constant FICO mix",0.0,0.167,0.167,0.0,0.005,0.167,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding off, brand zero, selection off, cutoff 620",0,0,0,0.0,620,"(b) cross-section, other cards, FICO-controlled",0.0,-0.009,-0.009,0.0,0.007,-0.009,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.000 pp (not brand)"
"free-riding off, brand zero, selection off, cutoff 620",0,0,0,0.0,620,"(c) within-person, no time effects",0.0,0.166,0.166,0.0,0.005,0.166,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding off, brand zero, selection off, cutoff 620",0,0,0,0.0,620,"(d) person x month FE, issuer dummy",6.258,6.258,0.0,0.0,0.194,6.258,"holders; person-month FE on months with >=1 late and >=1 current card (54,417 card-months); true = brand effect on premium cards inside that sample"
"free-riding off, brand zero, selection off, cutoff 620",0,0,0,0.0,620,(e) person x month FE + line/balance controls,-0.524,-0.524,0.0,0.0,0.511,-0.524,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding off, brand zero, selection off, cutoff 620",0,0,0,0.0,620,"(f) RD at approval cutoff, other cards",0.0,0.265,0.265,0.0,0.149,0.265,"fuzzy RD, applicants within 15 FICO pts of 620 (n=10,031), first stage 0.55; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.000 pp, not brand"
"free-riding ON, brand zero, selection off, cutoff 620",1,0,0,0.1,620,"(a) pool-level, constant FICO mix",0.0,0.158,0.158,-0.009,0.006,0.167,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON, brand zero, selection off, cutoff 620",1,0,0,0.1,620,"(b) cross-section, other cards, FICO-controlled",0.0,0.007,0.007,0.016,0.007,-0.009,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.016 pp (not brand)"
"free-riding ON, brand zero, selection off, cutoff 620",1,0,0,0.1,620,"(c) within-person, no time effects",0.0,0.147,0.147,-0.019,0.005,0.166,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON, brand zero, selection off, cutoff 620",1,0,0,0.1,620,"(d) person x month FE, issuer dummy",6.258,5.497,-0.761,-0.761,0.185,6.258,"holders; person-month FE on months with >=1 late and >=1 current card (54,812 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON, brand zero, selection off, cutoff 620",1,0,0,0.1,620,(e) person x month FE + line/balance controls,-0.524,-0.468,0.056,0.056,0.414,-0.524,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding ON, brand zero, selection off, cutoff 620",1,0,0,0.1,620,"(f) RD at approval cutoff, other cards",0.0,0.329,0.329,0.064,0.144,0.265,"fuzzy RD, applicants within 15 FICO pts of 620 (n=10,031), first stage 0.55; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.016 pp, not brand"
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",1,0,0,0.25,620,"(a) pool-level, constant FICO mix",0.0,0.15,0.15,-0.017,0.006,0.167,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",1,0,0,0.25,620,"(b) cross-section, other cards, FICO-controlled",0.0,0.03,0.03,0.039,0.007,-0.009,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.039 pp (not brand)"
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",1,0,0,0.25,620,"(c) within-person, no time effects",0.0,0.125,0.125,-0.041,0.005,0.166,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",1,0,0,0.25,620,"(d) person x month FE, issuer dummy",6.258,4.623,-1.635,-1.635,0.204,6.258,"holders; person-month FE on months with >=1 late and >=1 current card (55,372 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",1,0,0,0.25,620,(e) person x month FE + line/balance controls,-0.524,-0.409,0.115,0.115,0.333,-0.524,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",1,0,0,0.25,620,"(f) RD at approval cutoff, other cards",0.0,0.429,0.429,0.164,0.153,0.265,"fuzzy RD, applicants within 15 FICO pts of 620 (n=10,031), first stage 0.55; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.039 pp, not brand"
